Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2018-01-01,89.0893783569336,381.581298828125,1174.45556640625,1072.1768798828125,562.4501342773438,2638.26904296875,168.06675720214844,515.4166870117188,51.81916046142578,453.57305908203125,576.7306518554688,133.08619689941406,455.4854736328125,2795.7041015625,1087.697509765625,349.8752136230469,432.6889953613281,382.0675964355469,257.2323303222656,1184.2354736328125,298.0550231933594,1189.4512939453125,415.2442626953125,187.494140625,242.6212615966797,994.7455444335938,1118.449462890625,692.0093383789062,8962.494140625,356.0959167480469,106.89826965332031,123.11360168457031,74.09073638916016,401.8648376464844,687.712158203125,255.17965698242188,283.3663024902344,535.1268920898438,1103.4737548828125,292.91326904296875,55.28141784667969,380.7503967285156,828.769287109375,327.138916015625,4106.43017578125,111.122802734375
2018-01-02,87.93585205078125,379.4330139160156,1164.10302734375,1071.333251953125,556.4824829101562,2642.680419921875,167.96937561035156,508.36590576171875,51.87626647949219,443.8211364746094,573.2410278320312,134.78317260742188,456.4422912597656,2681.32470703125,1083.513916015625,355.4893493652344,436.853759765625,387.8038024902344,257.9438781738281,1179.0382080078125,297.4787292480469,1187.869384765625,413.69744873046875,186.3861846923828,241.480224609375,997.9786376953125,1108.7349853515625,699.6762084960938,8871.630859375,356.11175537109375,108.32115173339844,125.99382781982422,74.29427337646484,402.48321533203125,673.5548095703125,253.4305419921875,279.8138122558594,533.3557739257812,1097.467041015625,291.2750244140625,55.824893951416016,388.9617919921875,821.6720581054688,322.79681396484375,4102.8115234375,111.8775405883789
2018-01-03,94.53507232666016,389.2196044921875,1149.0140380859375,1070.5362548828125,557.4273071289062,2599.608642578125,167.05873107910156,508.20147705078125,51.69063949584961,445.23883056640625,572.2978515625,135.6815185546875,443.14227294921875,2694.81103515625,1071.7711181640625,357.28118896484375,432.2574157714844,378.1454162597656,262.3077392578125,1189.387939453125,302.569580078125,1194.79052734375,410.3226013183594,186.672119140625,245.2683563232422,994.894775390625,1131.4022216796875,701.5347290039062,8744.001953125,355.95556640625,107.20099639892578,123.81763458251953,74.62733459472656,404.09552001953125,678.8638305664062,251.48214721679688,279.4447326660156,530.4658813476562,1100.57421875,291.32183837890625,56.25736999511719,393.1242370605469,832.51220703125,324.17840576171875,4150.716796875,108.80589294433594
2018-01-04,98.34437561035156,391.3201599121094,1132.997314453125,1098.8021240234375,556.88037109375,2618.37744140625,170.82786560058594,504.5240783691406,51.419342041015625,449.36297607421875,581.6820678710938,138.6511993408203,456.745361328125,2672.028564453125,1112.751953125,355.6087646484375,433.9490051269531,391.23565673828125,265.4383850097656,1191.0611572265625,302.28143310546875,1199.9814453125,407.9522399902344,186.95803833007812,252.98147583007812,995.1932983398438,1167.2435302734375,702.5569458007812,8715.8173828125,356.369873046875,107.23128509521484,127.68994903564453,74.14622497558594,406.5250549316406,689.7767333984375,254.38311767578125,284.6580810546875,541.7921142578125,1108.27001953125,292.3047790527344,58.19398498535156,395.4703063964844,868.0955200195312,328.0270690917969,4192.736328125,109.40269470214844
2018-01-05,103.62910461425781,404.63946533203125,1168.3515625,1111.17724609375,560.2122802734375,2630.729736328125,176.7201690673828,510.9669494628906,52.06190872192383,463.969482421875,580.1730346679688,139.12538146972656,468.6054992675781,2734.338134765625,1154.4930419921875,358.3761901855469,434.8122253417969,399.0799865722656,262.212890625,1194.848876953125,300.5524597167969,1185.100830078125,406.58624267578125,187.92303466796875,260.2381591796875,997.8294067382812,1166.533935546875,702.8822631835938,8760.0166015625,355.8038024902344,107.47348022460938,127.01789855957031,74.47931671142578,407.82818603515625,690.1209106445312,256.32269287109375,282.67425537109375,539.5082397460938,1121.6585693359375,292.9600524902344,58.99388885498047,397.6650695800781,884.4287719726562,345.6422424316406,4241.267578125,108.66548156738281
2018-01-08,105.39962768554688,403.7801513671875,1153.115966796875,1108.13037109375,562.400390625,2627.44091796875,178.89691162109375,520.3399047851562,52.56167221069336,443.6492919921875,580.0787353515625,143.4675750732422,469.21173095703125,2730.63525390625,1143.8436279296875,358.5552978515625,434.1122741699219,413.8861389160156,261.9757385253906,1205.286376953125,301.7530822753906,1211.4012451171875,416.2486267089844,189.85302734375,261.0597229003906,1000.8635864257812,1187.249267578125,706.1812744140625,8774.0400390625,359.62591552734375,107.56430053710938,126.3458251953125,74.2202377319336,410.16937255859375,692.2838134765625,261.4923095703125,282.1667175292969,551.4869384765625,1132.1693115234375,297.31304931640625,58.84462356567383,405.87646484375,900.3732299804688,339.6718444824219,4269.73046875,109.22718048095703
2018-01-09,105.10453033447266,402.0615539550781,1144.9613037109375,1118.489990234375,562.251220703125,2601.57373046875,177.20712280273438,513.876953125,52.13330841064453,438.02154541015625,580.5973510742188,151.75271606445312,465.6499328613281,2674.478759765625,1176.64697265625,355.9074401855469,434.8355407714844,427.0253601074219,257.564453125,1199.03271484375,300.26434326171875,1213.27978515625,418.3780212402344,193.39134216308594,259.2341003417969,1004.49462890625,1182.3697509765625,708.5510864257812,8713.3095703125,352.2940979003906,106.98908233642578,126.08981323242188,74.38678741455078,415.6468200683594,705.1630249023438,262.5140686035156,280.78265380859375,546.7327270507812,1129.9171142578125,295.15997314453125,59.116363525390625,404.022216796875,907.0330200195312,335.42840576171875,4271.22607421875,111.35098266601562
2018-01-10,106.66045379638672,404.3052673339844,1144.7659912109375,1103.8177490234375,559.7647094726562,2572.6181640625,175.52223205566406,518.17724609375,51.39077377319336,435.1002197265625,584.5115966796875,153.87387084960938,459.5872802734375,2627.768798828125,1174.745361328125,364.66729736328125,434.95220947265625,420.8970031738281,255.0030059814453,1202.99658203125,299.68792724609375,1225.1943359375,422.7572021484375,192.56927490234375,258.13873291015625,997.0336303710938,1174.3853759765625,706.134765625,8706.16015625,355.34637451171875,105.32402038574219,126.66585540771484,73.96118927001953,416.2652587890625,699.6082153320312,263.4320068359375,277.8299865722656,545.4275512695312,1170.626220703125,294.0365905761719,59.158451080322266,410.2658996582031,892.1094360351562,341.54681396484375,4248.40771484375,114.68589782714844
2018-01-11,108.21636199951172,406.26263427734375,1145.009765625,1114.6458740234375,555.736572265625,2561.388916015625,173.3941650390625,512.8804321289062,51.119468688964844,442.27459716796875,577.5321655273438,153.7740936279297,459.5020751953125,2660.239990234375,1182.8277587890625,365.08538818359375,436.9004821777344,438.0074768066406,254.00686645507812,1214.3145751953125,297.2865905761719,1221.733642578125,432.2187805175781,192.85520935058594,257.9105529785156,1012.353515625,1174.2078857421875,712.4541625976562,8672.6845703125,356.59857177734375,105.051513671875,126.66585540771484,73.22103118896484,414.2332763671875,691.939697265625,260.6263732910156,278.8449401855469,548.0843505859375,1163.9107666015625,293.2877197265625,59.01303482055664,417.53131103515625,881.7066040039062,344.5567321777344,4251.20556640625,112.72005462646484
2018-01-12,107.27745819091797,404.1620788574219,1136.17138671875,1115.3492431640625,552.106201171875,2546.911376953125,172.39588928222656,504.0008850097656,50.83389663696289,437.8067321777344,577.2965087890625,154.22328186035156,463.7269592285156,2679.417236328125,1161.5765380859375,368.6689758300781,435.2088928222656,447.0774230957031,255.05043029785156,1210.2188720703125,305.16302490234375,1220.1021728515625,433.28350830078125,191.2469024658203,261.7899475097656,1018.0237426757812,1179.1761474609375,713.2439575195312,8783.51171875,352.7469482421875,104.44606018066406,128.49000549316406,72.6659164428711,419.2027282714844,689.9242553710938,261.4923095703125,278.8910827636719,543.8895874023438,1158.009033203125,304.94244384765625,58.95943069458008,416.812255859375,878.6926879882812,344.75408935546875,4250.62646484375,111.91265106201172
